Portable Solutions Inventory Tracking,,,,,,,,,
--- INVENTORY DASHBOARD ---,,,,,,,,,
Unit ID,Equipment Type,Model/Description,Current Status,Latest Booking End Date,,,,,
PS2000-08,Portable Power Station,PS2000w Power station,In Stock,#REF!,,,,,
PS2000-07,Portable Power Station,PS2000w Power station,In Stock,#REF!,,,,,
PS2000-06,Portable Power Station,PS2000w Power station,In Stock,#REF!,,,,,
PS1800-05,Portable Power Station,PS1800PRO Power station,In Stock,#REF!,,,,,
PS1800-04,Portable Power Station,PS1800PRO Power station,In Stock,#REF!,,,,,
PS1800-03,Portable Power Station,PS1800PRO Power station,In Stock,#REF!,,,,,
PS1800-09,Portable Power Station,PS1800PRO Power station,In Stock,#REF!,,,,,
PS800-01,Portable Power Station,PS800 Power station,In Stock,#REF!,,,,,
PS800-02,Portable Power Station,PS800 Power station,In Stock,#REF!,,,,,
EB1536-10,Expansion Pack,EB1536 Expansion pack,In Stock,#REF!,,,,,
EB1536-11,Expansion Pack,EB1536 Expansion pack,In Stock,#REF!,,,,,
SB360-09,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB360-08,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB360-07,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB360-06,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB360-05,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB360-04,Solar Blanket,360w solar blanket,In Stock,#REF!,,,,,
SB200-03,Solar Blanket,200w Solar Blanket,In Stock,#REF!,,,,,
SB200-02,Solar Blanket,200w Solar blanket,In Stock,#REF!,,,,,
SB200-01,Solar Blanket,200w Solar Blanket,In Stock,#REF!,,,,,
K75-01,Fridge/Freezer,K 75L FF,In Stock,#REF!,,,,,
BM75-01,Fridge/Freezer,BM 75L FF,In Stock,#REF!,,,,,
K40-01,Fridge/Freezer,K40LFF,In Stock,#REF!,,,,,
AC-01,Air Compressor,ItechAC,In Stock,#REF!,,,,,
AC-02,Air Compressor,Lincoln AComp,In Stock,#REF!,,,,,
TBL-01,Accessories,6ft Folding table,In Stock,#REF!,,,,,
LGT-01,Lighting,ItechMagL,In Stock,#REF!,,,,,
LGT-02,Lighting,ItechMagL,In Stock,#REF!,,,,,
,,,,,,,,,
,,,,,,,,,
--- BOOKING LOG ---,,,,,,,,,
Booking ID,Form Timestamp,Customer Name,Customer Contact,Specific Unit ID,Hire Start Date,Hire End Date,Current Hire Status,Conflict Alert,Calendar Event ID
PS-001,4/13/2026 10:00:00,John Doe,400000000,PS2000-01,4/15/2026,4/20/2026,Booked,⚠️ OVERLAP,
PS-002,4/13/2026 10:15:00,Jane Smith,jane@email.com,PS2000-01,4/19/2026,4/22/2026,Pending Review,⚠️ OVERLAP,
PS-003,4/13/2026 11:00:00,Bob Brown,400111222,SB360-01,4/16/2026,4/18/2026,Active Hire,OK,
